,pos,mid,neg
228,매력발산,,설상가상
229,기능 추가,,후유증
230,도전,,이기적
231,증자,,폭탄
232,매진,,체포
233,고도화,,편법
234,돌진,,달성
235,낙관,,몰수
236,반등,,뺀
237,노력,,저평가
238,합리적,,유죄
239,시간단축,,꼴찌
240,완승,,치워
241,완화,,과부하
242,현금화,,경고
243,인기,,유출
244,럭셔리,,최악
245,최고 인기,,침체
246,선정,,분식 회계
247,고무적,,참사
248,트랜디,,긴급
249,저렴,,수렁
250,흥행돌풍,,의혹
251,저가,,안갯속
252,성공적,,한심
253,자유,,종말
254,가치창출,,탄식
255,공개,,오해
256,발행,,하락
257,아름다움,,짝퉁
258,부각,,쇼크
259,환상적,,개돼지
260,감탄,,갈등
261,신개념,,개살구
262,해소,,통곡
263,성장,,생산중단
264,칭찬,,붕괴
265,열풍,,반발
266,정성,,구속
267,으뜸,,경쟁심화
268,포옹,,금지
269,반전,,비상
270,알뜰,,위축
271,국내 최초,,유가 상승
272,최대,,조작
273,화색,,추풍낙엽
274,축포,,아픔
275,몰고,,악영향
276,만족,,문제
277,시장선점,,사의
278,독자적,,떨구
279,이벤트,,실형
280,협약,,짐꾼
281,신규,,퇴출
282,지지,,부실
283,넘궈,,음전
284,활약,,날조
285,1위,,조정
286,감각적,,혐의
287,추천,,억울
288,추모,,깨졌다
289,허가,,주저
290,보상,,배임
291,국제적,,압수
292,무상지원,,뿔난
293,공감,,우려
294,다양,,출렁
295,줍줍,,
296,열광,,
297,수주,,
298,정상,,
299,탈환,,
300,취득,,
301,인수,,
302,존경,,
303,편한,,
304,올킬,,
305,상위,,
306,루머해명,,
307,최고가,,
308,베스트,,
309,대박행진,,
310,수익,,
311,신설,,
312,아름답,,
313,유리,,
314,돌파,,
315,상향조정,,
316,톱5,,
317,우량주,,
318,극찬,,
319,성공사례,,
320,배당,,
321,시작,,
322,건강,,
323,프리미엄,,
324,상장,,
325,역동적,,
326,대장주,,
327,흥행,,
